<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20190124,82.18,82.77,82.18,82.58,29390
DHG,20190123,82.19,84.15,82.19,82.38,135070
DHG,20190122,82.87,83.56,81.59,83.17,105950
DHG,20190121,82.19,82.88,81.60,82.87,96600
DHG,20190118,81.20,82.38,81.10,82.19,76910
DHG,20190117,79.14,82.09,79.14,81.20,117620
DHG,20190116,79.83,80.81,79.63,80.71,102050
DHG,20190115,79.24,80.61,78.65,79.63,101570
DHG,20190114,78.65,80.61,76.68,79.63,211030
DHG,20190111,77.17,78.84,74.72,78.55,139310
DHG,20190110,73.73,76.97,73.73,76.19,82280
DHG,20190109,74.13,74.82,73.74,74.22,103150
DHG,20190108,74.71,74.71,73.24,73.54,75610
DHG,20190107,72.26,74.03,72.26,73.73,70990
DHG,20190104,72.26,72.55,71.47,72.26,53830
DHG,20190103,74.71,74.91,72.26,72.26,183400
DHG,20190102,76.68,77.46,74.91,74.91,46610
DHG,20181228,75.11,77.67,74.23,77.66,74670
DHG,20181227,74.42,75.40,74.42,74.52,109780
DHG,20181226,76.29,76.29,74.42,74.42,85160
DHG,20181225,71.86,76.68,71.86,76.29,100820
DHG,20181224,78.65,78.65,77.18,77.17,53390
DHG,20181221,76.78,78.65,76.78,78.65,90950
DHG,20181220,79.73,80.61,78.85,79.14,143150
DHG,20181219,81.01,81.40,79.63,80.32,175620
DHG,20181218,81.59,81.59,80.71,81.01,64590
DHG,20181217,81.10,82.18,80.90,81.79,97690
DHG,20181214,81.39,81.59,80.90,81.10,102580
DHG,20181213,81.50,81.60,81.01,81.10,135940
DHG,20181212,81.50,81.60,81.11,81.40,61540
DHG,20181211,81.70,82.58,80.61,80.91,149090
DHG,20181210,82.58,83.07,82.38,82.58,80510
DHG,20181207,82.58,83.27,82.58,83.07,118540
DHG,20181206,82.58,83.17,82.09,82.48,95310
DHG,20181205,81.79,82.58,81.59,82.58,69670
DHG,20181204,82.97,83.17,82.09,82.38,205210
DHG,20181203,80.61,82.18,80.61,82.09,165620
DHG,20181130,80.02,81.10,79.63,80.61,57690
DHG,20181129,81.70,82.19,80.32,81.10,119630
DHG,20181128,81.49,81.49,80.61,81.01,47270
DHG,20181127,82.58,82.58,80.81,81.20,100430
DHG,20181126,83.56,83.56,82.29,82.58,25610
DHG,20181123,83.76,83.76,82.29,82.58,71810
DHG,20181122,83.07,84.45,83.07,83.76,157080
DHG,20181121,83.07,83.07,82.09,83.07,47700
DHG,20181120,81.30,83.56,81.30,83.07,91970
DHG,20181119,80.91,82.19,80.81,81.69,70030
DHG,20181116,80.91,81.11,80.22,80.91,83630
DHG,20181115,81.01,81.50,80.32,80.91,47700
DHG,20181114,80.71,81.59,80.61,81.01,92660
DHG,20181113,80.62,81.89,80.62,80.61,108540
DHG,20181112,83.08,83.37,82.09,83.27,54780
DHG,20181109,83.57,84.55,82.49,83.37,119420
DHG,20181108,81.60,84.35,81.60,83.96,182360
DHG,20181107,83.56,83.56,81.59,82.58,149960
DHG,20181106,81.60,84.55,81.60,83.56,253740
DHG,20181105,81.59,81.59,81.20,81.60,65270
DHG,20181102,82.38,83.36,82.28,82.38,145090
DHG,20181101,82.58,83.56,81.79,82.38,35970
DHG,20181031,82.28,83.56,82.28,82.58,49160
DHG,20181030,82.38,82.58,81.99,82.28,50000
DHG,20181029,83.56,83.66,80.71,82.38,76330
DHG,20181026,84.55,85.33,83.27,83.66,63080
DHG,20181025,83.66,84.55,83.07,83.76,62280
DHG,20181024,87.01,87.01,85.53,85.53,42270
DHG,20181023,87.50,87.50,85.53,85.73,36960
DHG,20181022,86.02,87.00,86.02,86.81,73940
DHG,20181019,87.99,88.97,86.61,86.61,101900
DHG,20181018,89.66,89.66,88.48,88.48,56970
DHG,20181017,89.85,90.44,89.46,89.46,95080
DHG,20181016,89.95,90.44,89.66,89.85,45590
DHG,20181015,90.45,90.54,88.48,89.95,101730
DHG,20181012,85.72,90.24,85.72,90.25,143180
DHG,20181011,89.46,89.46,87.10,88.18,147750
DHG,20181010,89.95,91.13,89.95,90.44,89600
DHG,20181009,91.92,91.92,89.95,89.95,457530
DHG,20181008,92.02,93.39,92.02,92.21,79690
DHG,20181005,92.41,93.49,92.21,92.41,180180
DHG,20181004,95.36,95.36,92.41,92.41,167410
DHG,20181003,95.36,96.24,94.77,95.36,163570
DHG,20181002,96.44,98.31,95.36,95.36,259730
DHG,20181001,97.92,98.31,95.26,98.31,567870
DHG,20180928,99.29,99.29,98.01,98.31,184130
DHG,20180927,97.92,99.30,96.54,99.29,466990
DHG,20180926,94.67,97.33,94.67,97.33,335060
DHG,20180925,94.67,95.56,93.69,95.36,338900
DHG,20180924,94.57,95.16,94.57,94.87,217880
DHG,20180921,95.36,95.75,93.49,95.26,363560
DHG,20180920,93.40,95.36,93.40,95.36,216290
DHG,20180919,92.90,93.89,92.51,93.69,390610
DHG,20180918,92.31,92.70,91.03,92.51,344140
DHG,20180917,90.94,92.81,90.55,92.41,239330
DHG,20180914,91.72,92.41,90.83,90.94,214610
DHG,20180913,90.44,92.41,90.44,91.62,356780
DHG,20180912,90.93,91.72,90.44,90.44,130450
DHG,20180911,89.96,90.94,89.96,90.54,128150
DHG,20180910,90.44,90.44,89.95,90.35,163480
DHG,20180907,90.14,90.54,89.85,90.44,191870
DHG,20180906,90.05,90.44,89.46,89.85,144820
DHG,20180905,91.13,91.13,89.66,90.05,250890
DHG,20180904,91.33,92.31,90.64,91.13,339340
DHG,20180831,92.21,92.21,90.74,90.74,166350
DHG,20180830,89.95,91.03,89.75,90.74,360620
DHG,20180829,91.42,91.42,89.75,89.95,245480
DHG,20180828,92.41,92.41,90.93,91.13,238860
DHG,20180827,94.38,94.38,92.22,92.21,221890
DHG,20180824,94.09,94.38,93.20,94.38,174220
DHG,20180823,94.87,94.97,94.18,94.38,146570
DHG,20180822,95.36,95.76,94.87,95.26,186800
DHG,20180821,93.40,94.38,91.33,94.38,401520
DHG,20180820,97.82,97.82,94.38,94.38,432940
DHG,20180817,100.28,101.07,97.82,97.82,101420
DHG,20180816,99.78,100.28,98.80,100.28,60120
DHG,20180815,103.81,103.81,100.76,101.75,99230
DHG,20180814,105.19,106.17,103.72,103.81,135560
DHG,20180813,101.06,105.19,100.28,105.19,235740
DHG,20180810,99.29,100.96,98.41,100.77,270210
DHG,20180809,100.77,101.16,98.31,98.70,384400
DHG,20180808,101.07,101.07,100.08,100.28,376330
DHG,20180807,98.90,100.77,98.90,100.28,260720
DHG,20180806,98.41,101.06,98.41,100.28,328950
DHG,20180803,98.01,98.80,98.01,98.31,213860
DHG,20180802,98.21,98.31,96.44,97.72,134880
DHG,20180801,98.80,98.80,97.52,97.72,161110
DHG,20180731,98.31,99.19,98.31,98.70,151180
DHG,20180730,98.11,98.80,97.82,98.31,192230
DHG,20180727,96.55,97.43,96.55,97.13,92550
DHG,20180726,97.32,97.81,96.54,96.55,93460
DHG,20180725,96.35,97.81,96.35,96.35,138720
DHG,20180724,96.65,97.33,95.87,96.35,152850
DHG,20180723,96.84,98.20,96.35,97.33,174830
DHG,20180720,99.27,99.76,97.33,97.52,155310
DHG,20180719,99.27,101.12,98.78,99.76,377100
DHG,20180718,99.76,100.25,98.49,99.27,127920
DHG,20180717,98.79,100.73,97.81,99.76,90850
DHG,20180716,99.66,99.76,98.30,99.08,291540
DHG,20180713,97.52,97.82,96.26,97.03,156490
DHG,20180712,96.06,97.32,95.57,97.33,69960
DHG,20180711,98.20,98.20,95.67,96.35,319240
DHG,20180710,97.33,99.08,96.64,98.20,95360
DHG,20180709,99.47,100.25,96.35,96.45,181800
DHG,20180706,102.39,103.17,101.22,101.22,198490
DHG,20180705,100.25,103.95,100.25,102.39,681290
DHG,20180704,95.57,98.10,95.57,97.23,630930
DHG,20180703,97.33,98.79,95.38,95.57,154540
DHG,20180702,99.27,99.27,95.38,97.33,133980
DHG,20180629,99.76,99.76,97.81,99.27,129130
DHG,20180628,97.32,100.44,97.23,99.27,275810
DHG,20180627,99.37,100.73,99.37,100.73,143750
DHG,20180626,101.22,101.71,99.28,101.22,47270
DHG,20180625,101.70,104.04,100.34,101.71,92230
DHG,20180622,97.33,103.17,97.33,101.80,298920
DHG,20180621,98.89,100.64,97.14,97.33,315830
DHG,20180620,97.33,100.15,97.23,98.79,109510
DHG,20180619,100.25,100.25,95.38,97.33,225330
DHG,20180618,102.10,102.10,98.79,100.25,89950
DHG,20180615,101.22,102.19,100.24,102.10,22210
DHG,20180614,102.19,103.16,101.51,102.19,69250
DHG,20180613,102.19,102.19,99.76,102.19,70400
DHG,20180612,104.72,104.72,98.30,101.80,210600
DHG,20180611,105.12,105.60,104.63,104.72,64860
DHG,20180608,107.06,107.06,105.60,106.09,252930
DHG,20180607,106.09,109.01,104.14,107.06,441250
DHG,20180606,109.98,109.98,107.06,107.06,342200
DHG,20180605,107.06,111.93,106.58,111.93,377330
DHG,20180604,104.73,106.09,102.59,106.09,209010
DHG,20180601,100.25,102.20,100.25,101.71,160890
DHG,20180531,96.36,102.20,96.36,101.71,166620
DHG,20180530,98.30,99.08,96.55,97.33,56430
DHG,20180529,92.46,99.95,92.46,98.30,153430
DHG,20180528,96.84,98.30,93.44,93.43,146930
DHG,20180525,98.30,99.27,97.33,97.33,60860
DHG,20180524,100.25,100.25,98.01,98.30,73200
DHG,20180523,97.32,101.22,97.32,100.25,90230
DHG,20180522,100.34,102.00,93.72,99.27,116210
DHG,20180521,102.20,102.20,100.74,100.73,119230
DHG,20180518,98.79,101.71,98.79,100.25,178930
DHG,20180517,101.71,102.20,100.44,100.44,44230
DHG,20180516,105.11,105.31,101.22,101.71,53500
DHG,20180515,102.09,106.08,102.09,104.82,100980
DHG,20180514,102.19,102.19,100.73,101.80,46490
DHG,20180511,101.22,101.22,98.30,101.22,49150
DHG,20180510,101.22,101.60,99.27,101.22,110610
DHG,20180509,101.22,101.51,97.33,101.41,109480
DHG,20180508,100.15,102.58,99.27,101.22,161380
DHG,20180507,95.57,101.32,95.57,99.27,86320
DHG,20180504,94.89,97.33,94.89,96.06,50650
DHG,20180503,95.38,96.35,93.43,94.99,216270
DHG,20180502,97.33,97.33,94.51,96.35,229850
DHG,20180427,97.33,98.79,95.29,97.33,186670
DHG,20180426,103.17,103.17,97.33,97.72,189750
DHG,20180424,104.14,104.14,101.80,102.68,118240
DHG,20180423,105.12,107.55,104.05,104.04,212910
DHG,20180420,106.09,107.06,105.60,106.09,94290
DHG,20180419,106.08,108.03,104.14,106.09,306420
DHG,20180418,109.50,110.67,108.04,108.03,266010
DHG,20180417,109.50,109.69,107.95,109.40,229880
DHG,20180416,109.98,110.27,109.30,109.69,221500
DHG,20180413,109.50,110.37,107.56,109.69,387880
DHG,20180412,108.53,109.50,107.56,108.82,242800
DHG,20180411,109.01,109.50,106.59,108.43,435940
DHG,20180410,106.59,108.33,105.33,107.56,373370
DHG,20180409,108.14,109.98,105.62,106.59,480240
DHG,20180406,111.14,111.14,108.52,108.82,265920
DHG,20180405,111.44,112.31,109.69,111.14,275240
DHG,20180404,111.44,112.41,110.08,110.47,480080
DHG,20180403,108.43,112.21,107.17,110.47,407200
DHG,20180402,109.30,110.37,107.56,108.43,191270
DHG,20180330,104.56,109.89,104.56,107.56,220400
DHG,20180329,107.76,109.50,103.59,104.75,530590
DHG,20180328,112.31,112.60,107.85,108.92,624970
DHG,20180327,114.15,114.15,110.75,111.92,393450
DHG,20180326,112.69,114.34,112.40,113.37,426060
DHG,20180323,101.74,111.43,101.74,111.43,887370
DHG,20180322,109.98,111.34,105.62,105.62,288850
DHG,20180321,109.98,112.40,103.68,109.50,548210
DHG,20180320,100.29,108.62,100.29,108.62,634130
DHG,20180319,100.78,103.40,100.78,101.55,377010
DHG,20180316,99.71,101.84,99.32,100.78,360330
DHG,20180315,95.93,99.33,95.45,97.87,350300
DHG,20180314,94.96,96.32,94.96,95.45,373210
DHG,20180313,95.64,95.64,93.12,95.64,111210
DHG,20180312,92.93,95.93,92.93,95.64,56990
DHG,20180309,93.99,93.99,92.92,92.93,314010
DHG,20180308,93.51,95.35,93.51,93.99,246250
DHG,20180307,96.03,96.42,93.51,93.51,225350
DHG,20180306,97.38,98.45,96.61,96.71,283590
DHG,20180305,101.65,101.65,96.90,96.90,224800
DHG,20180302,101.74,101.74,100.29,101.26,183930
DHG,20180301,101.75,102.52,100.39,101.74,110640
DHG,20180228,101.65,102.72,100.88,101.07,140150
DHG,20180227,101.65,103.20,100.77,102.33,286630
DHG,20180226,100.58,103.59,100.58,100.87,276350
DHG,20180223,100.97,101.75,100.30,101.26,133910
DHG,20180222,102.71,102.71,99.81,100.78,147210
DHG,20180221,100.88,103.20,100.78,102.52,147660
DHG,20180213,95.64,99.80,95.35,99.81,189680
DHG,20180212,95.25,95.25,93.02,95.25,88320
DHG,20180209,92.05,94.47,88.46,93.99,112100
DHG,20180208,91.08,96.41,90.60,92.05,194600
DHG,20180207,89.15,90.21,87.31,90.21,126920
DHG,20180206,81.11,87.21,81.11,84.40,308790
DHG,20180205,92.06,93.03,87.21,87.21,197820
DHG,20180202,94.47,94.47,91.95,92.25,295390
DHG,20180201,96.32,96.52,94.00,94.28,340830
DHG,20180131,96.32,97.19,96.03,96.42,318060
DHG,20180130,98.64,98.74,96.12,96.32,457830
DHG,20180129,99.71,100.19,98.45,98.64,260500
DHG,20180126,97.86,99.71,97.38,98.64,223730
DHG,20180125,97.97,98.36,95.93,96.12,1018840
DHG,20180122,98.74,100.29,98.55,98.84,402700
DHG,20180119,100.00,102.23,100.00,101.07,291080
DHG,20180118,99.03,102.52,98.93,99.90,332450
DHG,20180117,105.62,105.62,102.23,102.71,322600
DHG,20180116,105.91,107.56,104.56,105.52,222240
DHG,20180115,104.65,106.59,104.26,106.59,195130
DHG,20180112,105.14,105.92,104.66,104.94,180410
DHG,20180111,106.59,106.59,104.66,106.11,139270
DHG,20180110,106.59,108.82,105.13,106.11,427590
DHG,20180109,103.78,107.07,103.78,104.94,477610
DHG,20180108,105.14,105.53,102.52,104.07,429150
DHG,20180105,110.07,110.07,105.62,105.72,512310
DHG,20180104,110.46,110.95,109.49,110.17,373480
DHG,20180103,110.95,111.91,110.85,110.85,445800
DHG,20180102,109.98,111.91,109.49,111.43,371870
DHG,20171229,112.88,114.24,110.95,111.43,280000
DHG,20171228,108.15,112.70,108.05,112.69,688850
DHG,20171227,109.47,109.47,107.37,107.37,170630
DHG,20171226,110.23,110.23,108.51,109.28,132270
DHG,20171225,108.99,111.19,108.99,108.99,169230
DHG,20171222,108.52,109.95,106.61,109.95,320810
DHG,20171221,108.99,110.33,108.51,108.52,165980
DHG,20171220,111.38,111.48,108.13,108.99,211740
DHG,20171219,110.71,111.96,109.47,111.38,431270
DHG,20171218,108.04,110.24,107.56,109.95,307070
DHG,20171215,107.56,108.04,105.65,108.04,189200
DHG,20171214,108.99,109.09,107.56,107.56,268140
DHG,20171213,104.12,108.23,104.12,107.56,661520
DHG,20171212,101.54,103.74,100.97,102.97,483750
DHG,20171211,102.30,102.30,100.58,101.54,198880
DHG,20171208,103.16,103.16,101.34,102.30,59460
DHG,20171207,102.78,103.06,101.63,102.30,70730
DHG,20171206,101.35,101.83,99.53,101.82,163490
DHG,20171205,104.98,104.98,101.34,101.35,233980
DHG,20171204,104.12,104.98,102.78,104.88,189000
DHG,20171201,104.69,104.69,102.30,102.49,164440
DHG,20171130,101.16,103.93,101.16,102.30,342840
DHG,20171129,100.39,101.06,98.00,101.06,221480
DHG,20171128,102.21,102.69,99.44,100.39,182280
DHG,20171127,100.86,102.20,100.29,102.21,134760
DHG,20171124,99.91,100.39,99.05,100.29,203080
DHG,20171123,100.19,101.82,98.95,99.43,360850
DHG,20171122,98.09,99.91,98.09,99.62,197750
DHG,20171121,97.14,100.39,97.14,99.43,487930
DHG,20171120,95.61,97.52,93.70,97.14,222420
DHG,20171117,99.24,99.24,94.94,95.61,251680
DHG,20171116,95.61,99.24,95.13,98.09,314830
DHG,20171115,92.55,95.61,91.98,95.13,408510
DHG,20171114,90.35,92.74,90.35,91.02,256070
DHG,20171113,91.69,91.69,89.30,89.87,676310
DHG,20171110,93.03,93.03,91.31,91.59,213970
DHG,20171109,92.84,93.22,92.27,92.74,141840
DHG,20171108,92.55,92.55,91.59,91.98,105660
DHG,20171107,92.64,92.64,90.83,91.88,123930
DHG,20171106,93.69,93.69,91.59,92.74,182420
DHG,20171103,86.05,91.60,86.05,91.59,169990
DHG,20171102,87.01,90.83,86.05,86.05,309560
DHG,20171101,95.52,95.52,89.30,90.83,614250
DHG,20171031,100.39,100.39,95.61,95.90,396560
DHG,20171030,101.15,103.25,100.00,100.39,193990
DHG,20171027,101.35,102.30,101.15,101.15,111210
DHG,20171026,100.49,103.26,100.49,101.25,141170
DHG,20171025,102.30,103.26,101.16,101.25,196200
DHG,20171024,105.17,106.60,102.30,103.26,254420
DHG,20171023,109.00,109.00,105.65,106.70,212050
DHG,20171020,109.37,113.67,108.99,109.19,445310
DHG,20171019,107.56,111.87,106.42,111.38,504930
DHG,20171018,108.52,108.52,106.99,106.99,216230
DHG,20171017,106.41,109.86,106.03,108.04,385150
DHG,20171016,101.35,106.13,100.49,105.65,346030
DHG,20171013,103.16,103.16,101.35,101.35,62060
DHG,20171012,101.06,104.21,100.77,102.40,181960
DHG,20171011,100.30,101.16,99.92,100.58,32350
DHG,20171010,99.91,100.39,99.44,99.82,94480
DHG,20171009,101.25,101.25,100.01,100.01,85100
DHG,20171006,100.86,101.15,100.67,100.68,62110
DHG,20171005,101.35,101.83,101.06,101.15,31260
DHG,20171004,100.58,102.20,100.58,101.35,34020
DHG,20171003,101.44,102.30,101.06,101.44,72360
DHG,20171002,101.82,102.78,101.44,101.44,61410
DHG,20170929,101.44,102.30,101.44,101.82,23160
DHG,20170928,102.30,102.30,101.73,101.82,64090
DHG,20170927,103.74,103.74,102.11,102.30,43990
DHG,20170926,103.54,104.69,102.20,103.26,47040
DHG,20170925,101.63,104.21,101.63,103.54,68760
DHG,20170922,102.40,102.59,101.35,101.63,133150
DHG,20170921,103.93,104.22,102.30,102.59,102060
DHG,20170920,104.69,104.78,103.73,103.93,81640
DHG,20170919,106.13,106.13,104.21,104.21,80710
DHG,20170918,107.28,107.66,105.65,106.03,158760
DHG,20170915,103.19,106.70,102.15,106.32,306480
DHG,20170914,102.33,103.09,102.15,102.15,63740
DHG,20170913,101.77,102.24,100.91,102.24,100390
DHG,20170912,100.92,100.92,99.59,100.44,94420
DHG,20170911,99.97,102.81,99.97,100.92,79360
DHG,20170908,101.20,101.20,99.11,99.97,123690
DHG,20170907,100.16,100.16,98.27,98.83,127250
DHG,20170906,102.53,102.81,100.35,100.35,170750
DHG,20170905,103.28,104.04,102.33,102.53,89060
DHG,20170901,104.04,105.18,103.19,103.47,79110
DHG,20170831,104.04,104.04,103.09,103.19,62370
DHG,20170830,104.42,104.70,103.38,103.66,35760
DHG,20170829,104.14,104.90,103.29,104.23,66470
DHG,20170828,104.71,104.71,103.29,104.52,84760
DHG,20170825,104.99,105.56,103.94,104.52,66880
DHG,20170824,105.18,105.18,103.66,103.66,65640
DHG,20170823,103.29,104.23,102.81,103.57,42050
DHG,20170822,104.99,104.99,103.57,103.57,75350
DHG,20170821,105.18,105.94,104.42,104.99,84500
DHG,20170818,106.03,106.03,104.23,104.23,43050
DHG,20170817,106.69,107.83,105.18,105.18,80380
DHG,20170816,107.07,107.07,106.12,106.22,77980
DHG,20170815,108.88,108.88,106.60,107.07,83340
DHG,20170814,103.28,108.21,102.81,107.93,368400
DHG,20170811,104.23,104.23,102.34,103.28,48830
DHG,20170810,104.23,104.23,102.72,103.19,98430
DHG,20170809,103.57,107.08,101.39,102.15,328770
DHG,20170808,106.13,106.32,103.76,103.76,281050
DHG,20170807,107.83,108.02,105.65,106.32,324750
DHG,20170804,107.64,108.02,106.50,107.83,218420
DHG,20170803,110.30,110.30,108.02,108.40,227970
DHG,20170802,109.92,110.87,108.97,109.92,276950
DHG,20170801,110.87,111.82,109.92,109.92,160250
DHG,20170731,109.92,112.29,108.02,110.30,354460
DHG,20170728,109.92,111.06,108.50,109.73,69670
DHG,20170727,111.62,111.81,109.54,109.92,129130
DHG,20170726,108.97,111.72,108.40,111.62,280700
DHG,20170725,108.12,108.97,107.17,108.78,168350
DHG,20170724,106.12,111.05,104.99,108.69,338800
DHG,20170721,112.28,112.28,108.02,108.02,338190
DHG,20170720,112.76,113.42,111.81,111.81,252040
DHG,20170719,112.57,113.04,111.81,112.76,99250
DHG,20170718,110.86,114.65,109.15,112.57,281920
DHG,20170717,115.13,115.51,110.20,111.05,217290
DHG,20170714,112.57,116.55,111.81,115.13,368620
DHG,20170713,108.97,110.01,108.88,110.01,799020
DHG,20170712,107.54,109.34,107.26,108.97,255920
DHG,20170711,109.92,109.92,102.34,107.07,623110
DHG,20170710,113.71,113.71,109.92,109.92,413580
DHG,20170707,115.60,115.70,113.80,113.80,217530
DHG,20170706,116.45,116.64,114.84,115.51,209320
DHG,20170705,115.60,116.08,114.28,115.41,96340
DHG,20170704,115.32,115.98,112.76,114.56,287730
DHG,20170703,116.83,118.63,115.60,115.60,516590
DHG,20170630,117.78,117.87,117.02,117.78,118360
DHG,20170629,117.97,117.97,116.55,117.78,116190
DHG,20170628,117.02,118.92,115.60,117.69,197350
DHG,20170627,113.71,118.45,110.39,116.55,413960
DHG,20170626,119.39,119.39,113.71,113.71,579880
DHG,20170623,121.20,121.20,118.92,118.92,421850
DHG,20170622,123.09,123.19,119.49,121.29,358980
DHG,20170621,121.29,123.19,120.34,122.24,394410
DHG,20170620,119.87,122.71,118.45,121.29,299510
DHG,20170619,122.24,122.62,119.40,119.87,574070
DHG,20170616,119.77,123.65,119.77,122.24,156210
DHG,20170615,119.49,122.05,119.40,119.77,284060
DHG,20170614,121.01,121.01,118.35,119.49,153050
DHG,20170613,119.39,120.15,117.69,119.68,188080
DHG,20170612,120.34,126.22,117.03,117.97,356720
DHG,20170609,118.25,121.47,117.97,121.10,484600
DHG,20170608,107.07,113.61,106.22,113.61,516370
DHG,20170607,106.98,107.93,106.13,106.22,155000
DHG,20170606,106.60,107.36,106.32,106.32,88340
DHG,20170605,108.97,108.97,106.03,106.60,215450
DHG,20170602,102.81,107.74,102.81,106.60,249680
DHG,20170601,103.29,104.52,102.34,102.81,105930
DHG,20170531,106.12,107.07,102.05,102.34,311050
DHG,20170530,108.87,108.97,105.75,105.84,248440
DHG,20170529,111.82,111.82,107.65,108.40,220100
DHG,20170526,105.14,106.46,102.77,106.51,469690
DHG,20170525,100.18,101.38,99.17,99.55,220270
DHG,20170524,97.78,99.80,96.83,99.74,194060
DHG,20170523,94.05,95.95,93.55,95.95,143830
DHG,20170522,93.49,94.43,92.86,94.24,50310
DHG,20170519,95.19,95.19,93.49,93.74,55370
DHG,20170518,95.26,96.02,94.12,94.75,157820
DHG,20170517,91.53,94.75,91.47,94.12,254850
DHG,20170516,91.78,91.78,90.33,90.71,53740
DHG,20170515,88.74,91.59,88.74,91.53,208030
DHG,20170512,87.04,88.24,86.53,88.05,94830
DHG,20170511,88.12,88.12,86.92,87.04,71040
DHG,20170510,87.17,88.18,86.92,87.80,71980
DHG,20170509,87.74,87.74,86.66,87.17,57440
DHG,20170508,87.17,88.43,86.91,86.98,145860
DHG,20170505,89.57,89.82,88.11,88.43,113270
DHG,20170504,88.75,89.70,87.87,89.06,108910
DHG,20170503,89.38,89.38,87.84,89.07,65920
DHG,20170428,89.69,91.04,88.52,89.38,113420
DHG,20170427,86.79,89.62,86.79,89.38,235550
DHG,20170426,82.84,86.05,82.59,85.68,211080
DHG,20170425,83.15,83.15,82.59,82.84,17000
DHG,20170424,82.29,82.96,81.98,82.84,22900
DHG,20170421,82.29,82.53,81.92,82.41,65300
DHG,20170420,82.59,82.59,81.73,82.04,72820
DHG,20170419,83.52,83.52,81.98,82.59,79120
DHG,20170418,82.22,83.76,82.22,83.03,39300
DHG,20170417,82.97,84.14,82.91,82.90,24130
DHG,20170414,82.72,84.13,81.98,83.40,106510
DHG,20170413,82.59,82.77,82.10,82.47,43010
DHG,20170412,83.21,83.21,82.53,82.59,35070
DHG,20170411,82.04,84.13,82.04,83.21,82570
DHG,20170410,82.78,83.21,82.16,82.16,29770
DHG,20170407,83.21,83.33,81.97,82.78,63550
DHG,20170405,83.52,83.59,82.29,82.59,68970
DHG,20170404,84.07,84.75,83.52,83.77,100850
DHG,20170403,85.06,85.31,83.71,84.07,40950
DHG,20170331,85.56,85.99,84.57,85.31,211170
DHG,20170330,81.98,85.25,81.98,84.51,156500
DHG,20170329,82.53,82.53,81.05,81.55,50080
DHG,20170328,81.92,83.96,81.43,81.42,215620
DHG,20170327,77.60,81.12,77.54,80.75,229320
DHG,20170324,77.66,77.66,76.12,77.05,53160
DHG,20170323,75.81,77.29,75.81,77.11,98540
DHG,20170322,75.20,76.43,75.14,76.12,127500
DHG,20170321,75.20,76.12,74.09,75.20,134840
DHG,20170320,76.18,76.67,75.32,75.32,82730
DHG,20170317,76.30,76.74,74.58,76.18,86570
DHG,20170316,75.82,76.93,75.20,76.12,68200
DHG,20170315,76.92,76.92,75.50,75.57,48950
DHG,20170314,76.74,77.05,75.20,76.49,94340
DHG,20170313,74.58,77.04,73.41,76.68,110440
DHG,20170310,75.50,76.12,73.96,74.64,79270
DHG,20170309,74.27,76.43,73.97,75.75,78780
DHG,20170308,74.95,75.20,73.72,74.09,39820
DHG,20170307,70.94,75.19,70.94,74.95,308000
DHG,20170306,71.50,71.50,70.45,70.88,31240
DHG,20170303,70.27,70.88,69.83,70.88,62530
DHG,20170302,70.88,70.88,70.33,70.82,26610
DHG,20170301,70.27,71.50,69.65,70.76,22590
DHG,20170228,71.50,71.80,70.26,70.27,53970
DHG,20170227,70.95,71.19,70.39,70.88,66350
DHG,20170224,71.50,71.50,70.64,71.44,51900
DHG,20170223,72.05,72.11,70.88,71.44,74570
DHG,20170222,69.95,72.36,69.95,72.05,244180
DHG,20170221,68.11,69.03,68.11,69.03,54720
DHG,20170220,68.54,69.65,68.54,68.85,19080
DHG,20170217,69.96,69.96,68.42,69.34,39990
DHG,20170216,68.78,69.71,67.80,69.65,135950
DHG,20170215,70.76,70.76,69.04,69.03,80890
DHG,20170214,70.27,70.89,70.09,70.33,69040
DHG,20170213,70.64,71.19,70.27,70.27,43700
DHG,20170210,71.19,71.19,70.27,70.64,25080
DHG,20170209,70.83,71.38,70.83,71.01,41650
DHG,20170208,70.88,70.88,70.21,70.58,104540
DHG,20170207,71.68,71.68,70.45,70.76,47970
DHG,20170206,69.65,70.45,69.59,70.45,96100
DHG,20170203,69.96,69.96,68.48,69.34,72750
DHG,20170202,69.03,70.88,68.42,68.42,138860
DHG,20170125,66.57,68.36,65.95,67.80,150280
DHG,20170124,66.63,66.88,65.96,66.26,70060
DHG,20170123,67.68,67.68,66.82,66.88,49200
DHG,20170120,67.80,67.80,66.69,67.68,93230
DHG,20170119,65.34,67.13,65.34,67.06,114010
DHG,20170118,64.72,65.52,64.72,65.34,78890
DHG,20170117,64.11,64.97,64.11,64.72,40790
DHG,20170116,65.03,65.40,64.17,64.17,43160
DHG,20170113,64.72,65.83,64.23,65.34,67050
DHG,20170112,64.72,65.27,64.10,64.72,21670
DHG,20170111,63.48,65.15,63.48,64.84,126130
DHG,20170110,62.99,64.41,62.25,63.36,154100
DHG,20170109,62.74,62.74,62.25,62.56,54100
DHG,20170106,63.06,63.12,61.64,62.25,110690
DHG,20170105,63.49,63.49,62.75,63.06,47630
DHG,20170104,60.96,63.06,60.71,63.06,127780
DHG,20170103,60.72,61.21,60.41,60.96,46760
DHG,20161230,60.96,60.96,60.40,60.41,88510
